ID,SKU,Fiyat (TL),Stok,Adet,Ürün Adı,URL
1461,60458,649,Mevcut,9,"60458 LEGO® City Pizza Arabası İtfaiye Kamyonuna Karşı Yarış Arabası Paketi","https://lego.tr/product/60458-lego-city-pizza-arabasi-itfaiye-kamyonuna-karsi-yaris-arabasi-paketi"
1468,60453,1599,Tükendi,0,"60453 LEGO® City Cankurtaran Kamyoneti","https://lego.tr/product/60453-lego-city-cankurtaran-kamyoneti"
1476,60452,1159,Tükendi,0,"60452 LEGO® City Donut Kamyonu","https://lego.tr/product/60452-lego-city-donut-kamyonu"
1484,60451,1159,Mevcut,6,"60451 LEGO® City Acil Yardım Ambulansı","https://lego.tr/product/60451-lego-city-acil-yardim-ambulansi"
1492,60450,899,Mevcut,35,"60450 LEGO® City Sarı Tekerlekli İnşaat Yükleyicisi","https://lego.tr/product/60450-lego-city-sari-tekerlekli-insaat-yukleyicisi"
1500,60448,649,Mevcut,53,"60448 LEGO® City Kırmızı Spor Araba","https://lego.tr/product/60448-lego-city-kirmizi-spor-araba"
1508,60446,5099,Mevcut,55,"60446 LEGO® City Modüler Galaktik Uzay Gemisi","https://lego.tr/product/60446-lego-city-moduler-galaktik-uzay-gemisi"
1516,60445,6099,Mevcut,2,"60445 LEGO® City RB20 ve AMR24 F1® Arabalı F1® Kamyonu","https://lego.tr/product/60445-lego-city-rb20-ve-amr24-f1-arabali-f1-kamyonu"
1524,60444,5099,Mevcut,41,"60444 LEGO® City F1® Garajı ve Mercedes-AMG ve Alpine Arabaları","https://lego.tr/product/60444-lego-city-f1-garaji-ve-mercedes-amg-ve-alpine-arabalari"
1532,60443,1799,Tükendi,0,"60443 LEGO® City Ferrari Arabalı F1® Pit Stop ve Pit Ekibi","https://lego.tr/product/60443-lego-city-ferrari-arabali-f1-pit-stop-ve-pit-ekibi"
1540,60442,749,Mevcut,15,"60442 LEGO® City McLaren Yarış Arabalı F1® Sürücüsü","https://lego.tr/product/60442-lego-city-mclaren-yaris-arabali-f1-surucusu"
1548,30694,299,Mevcut,21,"30694 LEGO® City Uzay Bilim Robotu","https://lego.tr/product/30694-lego-city-uzay-bilim-robotu"
1552,30693,299,Mevcut,243,"30693 LEGO® City Polis Jet Ski","https://lego.tr/product/30693-lego-city-polis-jet-ski"
1556,60473,12299,Mevcut,49,"60473 LEGO® City City Kulesi","https://lego.tr/product/60473-lego-city-city-kulesi"
